passage_id,deal_id,document_id,accession_number,document_type,document_family,source_url,heading,block_start,block_end,char_start,char_end,text,model_text,token_count,screen_terms,content_sha256,duplicate_group_id,occurrence_count
passage_04fd3d2318ca0670,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,764,764,27024,27130,Zebra Technologies Expands Partner Network to Empower Frontline Workers with AI in Emerging Indian Markets,zebra technologies expands partner network to empower frontline workers with ai in emerging indian markets,15,workers,04fd3d2318ca0670cd36e2838048637ea8b0d2d9f7f839b7af2aee8cf952ee93,duplicate_04fd3d2318ca0670,1
passage_07d2431212e14579,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,104,104,2176,2198,Workforce Optimization,workforce optimization,2,workforce,07d2431212e145794344443bf0162a3678c551fd22e4b8cdc68835b606a5b3af,duplicate_07d2431212e14579,1
passage_0bd8ffe0aeae67ab,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,560,560,19957,20054,Nucleus Research Names Zebra Workcloud Task and Workforce Management Solutions Enterprise Leaders,nucleus research names zebra workcloud task and workforce management solutions enterprise leaders,12,workforce,0bd8ffe0aeae67ab7fab21f0ff0b2c2b05b3dcb7612ab0058e6b69fc3911ad48,duplicate_0bd8ffe0aeae67ab,1
passage_0ffe875ed0300f93,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1445,1445,50532,50614,Zebra Technologies and Its Channel Partners Continue to Support Front-Line Workers,zebra technologies and its channel partners continue to support front-line workers,11,workers,0ffe875ed0300f93f92b5c34fa1ec056a754fa930206286e346480e265d25c19,duplicate_0ffe875ed0300f93,1
passage_10e11e9997aaae70,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,563,563,20076,20178,Zebra Technologies Empowers Frontline Workers with New DNA Software Platforms and AI-Powered Solutions,zebra technologies empowers frontline workers with new dna software platforms and ai-powered solutions,13,workers,10e11e9997aaae7080b93ca390e78a95895f52df365b84c2be3ea0fe672cee22,duplicate_10e11e9997aaae70,1
passage_151a4a2dd3fbc967,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1250,1250,43833,43900,Zebra Technologies Names Bill Burns as Next Chief Executive Officer,zebra technologies names bill burns as next chief executive officer,10,executive officer,151a4a2dd3fbc967363bc3b186f3c24755d464de7a82993f23ee870ab657df2e,duplicate_151a4a2dd3fbc967,1
passage_1bc39d673735bfb8,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1364,1364,47729,47810,Survey Says 95% of Bank Employees Prefer Managing Their Schedules with Mobile App,survey says numbertoken of bank employees prefer managing their schedules with mobile app,13,employees,1bc39d673735bfb805e1e202597d23f708f9c5f7b91fa8a6998049d63010672d,duplicate_1bc39d673735bfb8,1
passage_215c6c7df4fb7b17,3153170020,supp_6bb6449c48074311,,official_company_announcement,official_announcement,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,,37,37,3333,3766,"""Motion AI was born out of the idea that anyone, regardless of their level of tech knowledge, should be able to build a chatbot. We believe that this aligns well with HubSpot's mission of creating technology that helps businesses address and adapt to the latest trends,"" said David Nelson, founder and CEO of Motion AI. ""We're excited to be joining the HubSpot team, and can't wait to get to work on some really innovative AI tools.""",motion ai was born out of the idea that anyone regardless of their level of tech knowledge should be able to build a chatbot we believe that this aligns well with hubspot's mission of creating technology that helps businesses address and adapt to the latest trends said david nelson founder and ceo of motion ai we're excited to be joining the hubspot team and can't wait to get to work on some really innovative ai tools,76,founder,215c6c7df4fb7b172277326d1d0d3538d086b27317b14bd6378b1bc6a222ecb7,duplicate_215c6c7df4fb7b17,1
passage_2370eb8b672cf483,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,336,336,10884,10922,Workcloud Workforce Optimization Suite,workcloud workforce optimization suite,4,workforce,2370eb8b672cf483d36d204d10b53d737c947d2af7af246f1a876446ecdb3b09,duplicate_2370eb8b672cf483,1
passage_243beb2712293a24,3939905020,supp_e28fecde52a19db4,,official_company_announcement,official_announcement,https://www.glia.com/news/glia-acquires-finn-ai,,33,33,4617,5956,"been able to achieve widespread adoption on their own,” said Dan Michaeli, co-founder and CEO of Glia. “Glia’s large and rapidly growing customer base , combined with solid financial backing to accelerate the pace of innovation, immediately brings that scale. Finn AI is a strong fit for Glia based on its technology, market approach and company culture. We are thrilled to welcome the Finn AI team to Glia,” Michaeli continued. It was apparent when Finn AI first launched its banking-focused virtual assistant for Glia’s DCS platform in 2020 that the two companies shared a vision. “Our vertical approach and tight integration with Glia helps financial institutions reduce the costs, extensive training and development time typically required for general AI platforms. Now as part of Glia, we will have the scale to deliver automation solutions to the market as part of a seamless Digital Customer Service platform that delivers the best of both self-service and human assistance when and where it is most convenient for customers. With our existing integration and satisfied joint customers, we will hit the ground running. This is an exciting next step in our journey and we couldn’t be happier to be a part of Glia” said Jake Tyler, co-founder and CEO of Finn AI. Glia will maintain and expand the presence in the Finn AI Canada office",been able to achieve widespread adoption on their own said dan michaeli co-founder and ceo of glia glia's large and rapidly growing customer base combined with solid financial backing to accelerate the pace of innovation immediately brings that scale finn ai is a strong fit for glia based on its technology market approach and company culture we are thrilled to welcome the finn ai team to glia michaeli continued it was apparent when finn ai first launched its banking-focused virtual assistant for glia's dcs platform in numbertoken that the two companies shared a vision our vertical approach and tight integration with glia helps financial institutions reduce the costs extensive training and development time typically required for general ai platforms now as part of glia we will have the scale to deliver automation solutions to the market as part of a seamless digital customer service platform that delivers the best of both self-service and human assistance when and where it is most convenient for customers with our existing integration and satisfied joint customers we will hit the ground running this is an exciting next step in our journey and we couldn't be happier to be a part of glia said jake tyler co-founder and ceo of finn ai glia will maintain and expand the presence in the finn ai canada office,220,founder,243beb2712293a24fc6b8426c3697177350ecee0ac49831443529aa335cb41ec,duplicate_243beb2712293a24,1
